"pk","timestamp","confidence","price","version","quote","exchange","provider"
"doge#price","1713831566000","0.00015732","0.16074112","2","usd","pyth","pyth"
"doge#price","1713831567000","0.00017012","0.16074235","2","usd","pyth","pyth"
"doge#price","1713831567001","0.00015982","0.16074158","2","usd","pyth","pyth"
"doge#price","1713831567002","0.0001823","0.16074158","2","usd","pyth","pyth"
"doge#price","1713831567003","0.00018153","0.16074235","2","usd","pyth","pyth"
"doge#price","1713831568000","0.00015896","0.16074157","2","usd","pyth","pyth"
"doge#price","1713831568001","0.00015732","0.16074064","2","usd","pyth","pyth"
"doge#price","1713831569000","0.00015607","0.16074003","2","usd","pyth","pyth"
"doge#price","1713831569001","0.00016142","0.16074006","2","usd","pyth","pyth"
"doge#price","1713831570000","0.0001738","0.16074006","2","usd","pyth","pyth"
"doge#price","1713831570001","0.00015989","0.16074127","2","usd","pyth","pyth"
"doge#price","1713831570002","0.00016005","0.16074143","2","usd","pyth","pyth"
"doge#price","1713831571000","0.00017312","0.16074074","2","usd","pyth","pyth"
"doge#price","1713831572000","0.00017312","0.16074074","2","usd","pyth","pyth"
"doge#price","1713831572001","0.00016012","0.16073874","2","usd","pyth","pyth"
"doge#price","1713831572002","0.00014935","0.16073658","2","usd","pyth","pyth"
"doge#price","1713831572003","0.00016444","0.16073704","2","usd","pyth","pyth"
"doge#price","1713831573000","0.00016537","0.16073501","2","usd","pyth","pyth"
"doge#price","1713831573001","0.00017891","0.16072147","2","usd","pyth","pyth"
"doge#price","1713831574000","0.00016304","0.16072839","2","usd","pyth","pyth"
"doge#price","1713831574001","0.00014582","0.16072509","2","usd","pyth","pyth"
"doge#price","1713831575000","0.00014273","0.16072509","2","usd","pyth","pyth"
"doge#price","1713831575001","0.00014497","0.16072408","2","usd","pyth","pyth"
"doge#price","1713831575002","0.00014447","0.16072358","2","usd","pyth","pyth"
"doge#price","1713831575003","0.00017301","0.16072678","2","usd","pyth","pyth"
"doge#price","1713831576000","0.00017301","0.16072678","2","usd","pyth","pyth"
"doge#price","1713831576001","0.00015124","0.16072731","2","usd","pyth","pyth"
"doge#price","1713831577000","0.00015173","0.16072682","2","usd","pyth","pyth"
"doge#price","1713831577001","0.00018807","0.16072579","2","usd","pyth","pyth"
"doge#price","1713831578000","0.00014637","0.1607191","2","usd","pyth","pyth"
"doge#price","1713831578001","0.00014781","0.16071766","2","usd","pyth","pyth"
"doge#price","1713831578002","0.0001566","0.16071412","2","usd","pyth","pyth"
"doge#price","1713831579000","0.0001844","0.16071753","2","usd","pyth","pyth"
"doge#price","1713831580000","0.00015358","0.16071714","2","usd","pyth","pyth"
"doge#price","1713831580001","0.00015759","0.16071312","2","usd","pyth","pyth"
"doge#price","1713831580002","0.00018866","0.16071588","2","usd","pyth","pyth"
"doge#price","1713831580003","0.00018709","0.16071745","2","usd","pyth","pyth"
"doge#price","1713831581000","0.00019278","0.16071745","2","usd","pyth","pyth"
"doge#price","1713831581001","0.0001953","0.16071856","2","usd","pyth","pyth"
"doge#price","1713831582000","0.0001953","0.16071856","2","usd","pyth","pyth"
"doge#price","1713831582001","0.00019218","0.16071856","2","usd","pyth","pyth"
